Tweet,Sarcasm(yes/no/no) Ravi,Sarcasm(Yes/No/no) Niranjana,Sarcasm(Yes/No/no) Priya
@Rbjacobs Yes - Can't keep number. Thanks for 30 days warning #sarcasm. Keep treating your customers like crap. Will be vociferous @ AGM.,yes,yes,no
"@An_Old_Hand well I just want convenience stuff in the future, why would I need to go to #ipres2016 #nextyear #sarcasm",yes,yes,no
@DebugKing I forgot the #sarcasm tag...,no,no,no
"Testy, Testy...LOL #renovations bring out the best in people #sarcasm #gameofhomes",yes,yes,yes
"You know what, women should not have the right to choose what they can wear. They should listen to these 2 creepy old men #VPDebate #sarcasm",yes,yes,yes
So proud. #sarcasm https://t.co/C4pu3vecwG,no,no,no
@ijebu_garri And what did you reflect on? #sarcasm,no,no,no
Donald Trumpâ€™s Business Decisions in 80s Nearly Led Him to Ruin https://t.co/W14KXBogSU @realDonaldTrump sounds like a genius to me #sarcasm,yes,no,yes
@ClevTA playing against the UMASS Minutemen. Hardly a test! #sarcasm,yes,yes,no
Teacher: We are going to play the quiet game. Student: Are you playing too? #sarcasm #funny #tweetfleet,yes,yes,no
U knw wat y dnt u invite ur lower lip to ur upper lip and let them be together for a while #sarcasm #attitude #MY #jokesonly,yes,yes,yes
Sarcasm is TOO DAMN STRONG here.. #sarcasm #Pakistan #war https://t.co/0PL2phu1Rq,yes,yes,no
Octopussy T-shirt https://t.co/NprnzKwr7A #funnygift #WitticismsRus #sarcasm #Cat_shirt https://t.co/JImZgwwnRZ,no,no,no
"Ladies, don't you just love it when you're the one with the periods and cramps from hell but he's crying? Smh. ðŸ˜¡ #sarcasm",yes,yes,yes
Finally did that https://t.co/u3J7ywmVqa sorry it been so long @CanLIIConnects but apparently @BadLegalLLP says it's a hook up spot #sarcasm,no,no,no
Kim kardashian was robbed forâ‚¬9M . The robbers worked harder than she ever did ðŸ˜‚ . #Sarcasm #Kimkardashian,yes,yes,yes
2016: the year of Donald Trump and cops shooting black people #thanksobama #thisisgreat #iloveamerica #sarcasm #iactuallyhatebothofthese,yes,yes,yes
"@MUTSHIDZI_R Massacred? All those Nobel Prizewinners? The ones who fling rocks, poo or molotovs? Were they massacred? #hyperbole #sarcasm",yes,no,yes
Can't wait for tomorrow. Gonna spend three hours taking notes on a single chapter again. #Sarcasm #ScrewMicro,yes,yes,yes
Wise word from Doris and Harold. #condompenis #Parenthood #ParentingDoneRight #parentingtips #sarcasmâ€¦ https://t.co/PkTuXvonh7,no,no,no
People say that laughter is the best medicineâ€¦ your face must be curing the world! #sarcasm #funny #retweet,yes,yes,yes
@Telegraph @TelegraphNews such an astute headline...captures the critical core issues readers need to assess regarding the election #sarcasm,yes,yes,no
"It's said that #sarcasm is the lowest form of #wit. To that I say ""No, really? Hey, somebody give this person a #Nobel #peace #prize!""",yes,no,yes
"I just ""LOVE"" waking up in the dark to go to work ðŸ¤— #sarcasm",yes,yes,yes
"@NilimDutta @samyagdrsti Please provide videographic evidence, else Pak will create propaganda about them being ""fake deaths"". #Sarcasm",yes,yes,yes
@ShekharGupta I too want proof. Show me the evidence. Govt is after all the citizen's servant! RTI ka haq hai mujhe #stupidity #sarcasm,yes,yes,no
Or to cover them with the blankets... #lovemyjob #sarcasm https://t.co/890wOCHO34,no,no,no
@ChiliadMythBust @Sernandoe Funny how his channel for some odd reason does NOT want to show up for me on YT #sarcasm,no,yes,yes
"Kaine flip-flopped, and you evolved right? Ok that's not hypocritical at all #sarcasm https://t.co/coqpGB4yQQ",yes,no,yes
#anger and #sarcasm is #contagious ðŸ‘ŽðŸ¼ https://t.co/RfWSLjElpD,no,no,no
4 hours sleep. Wahoo. #sarcasm https://t.co/PRfC2lKMOK,yes,yes,no
Queen bitch coffee mug https://t.co/C80w3CesQ9 #WitticismsRus #sarcasm #funnygift #Profanity https://t.co/KRdHUbiW4R,no,no,no
Exactly my point! #Sarcasm @AlbanianArty @smilleesims,no,no,no
"#sarcasm 
  
  You are about to like someone's profile pic, but remember that this person never likes yours &amp; you skip the same.
  
  ðŸ˜‚",yes,yes,no
thanks bachata for helping me stay still while doing hw #sarcasm,yes,yes,no
"@ExSecular nahi ji ,not allowed #sarcasm",no,no,no
"The damn nerve of the guy
  Honestly 
  
  #sarcasm ðŸ˜• ðŸ˜£ ðŸ˜® ðŸ˜‘ https://t.co/n2Ficr5n8w",yes,no,yes
Too much sarcasm could make you not take anything in life seriously. #showerthoughts #TwitterLearnings #TwitterAddict #sarcasm,no,no,no
Attack it brother like the way it was done in 2014. #sarcasm https://t.co/u03IQcpjrq,no,no,no
"Sikh - muslim
  Whats the difference 
  Brown is brown
  #sarcasm ðŸ˜• ðŸ˜• https://t.co/2sSh7MGWhu",yes,yes,no
oh lordy today just got better and better as it went on #sarcasm,yes,yes,no
#vpdebate I bet the moderators of first two debates vote for Clinton. And I just have no idea at all how Anderson Cooper will vote? #sarcasm,yes,yes,yes
@USAforTrump2016 but CNN IS THE CLINTON NEWS NETWORK!!! HOW COULD THIS BE?!?!?! GUESS WE'LL JUST BE SELECTIVE ON WHAT IS REAL!!!#sarcasm,yes,yes,yes
@ShaunKing oh please mr policeman stop &amp; violate me so i can feel safe #sarcasm,yes,yes,yes
Stop asking people to work for #FREE #sarcasmism #writer #funny #sarcasm #humor https://t.co/ddk8BLcDft https://t.co/Jxyyi3Rpfx,yes,yes,no
Stop asking people to work for #FREE #sarcasmism #writer #funny #sarcasm #humor https://t.co/HLYKFBBbG8 https://t.co/ckk6efrd7p,yes,no,yes
@baileyawilson you're the best #sarcasm,no,no,no
"A #Nationalist posting abt boycott #ChineseProducts using #Xiomi phone which is connected to #Huawei router plugged in #Lenovo pc.
  #Sarcasm",yes,no,yes
"I'm not LAZY I'm Energy Efficient
  https://t.co/gijdrN91ku via @Etsy
  #Halloween #Humor #Sarcasm",yes,yes,yes
"@billmckibben @NaomiAKlein but at least there isn't any cost associated with doing nothing about climate change, right? #sarcasm",yes,no,yes
Huge cock coffee mug https://t.co/p3UnH6PYpY #funnygift #sarcasm #WitticismsRus #Adult_humor_mug https://t.co/E1xWkVBazd,yes,no,no
"Great, but gather Oz isn't leading the world anymore?! #sarcasm RT https://t.co/9cdlKhX9iK",yes,no,yes
"Maybe #Pence said #ThatMexicanThingAgain as a failed way of celebrating #TacoDay ?
  #Sarcasm",yes,no,yes
I guess he's a different kind of literature that we can't take literally. He speaks metaphors. Only the stupids misinterprets. ðŸ™„ðŸ‘ŠðŸ¼ #sarcasm,yes,yes,no
I really hope #sarcasm translates well on #twitter ðŸ˜¬,no,no,no
@MattHammer12 getting home at 12:40am after leaving for work at 5:45am some of may be inclined to believe your #sarcasm lol,yes,yes,no
@EONhelp Well thank you for your prompt reply EON! Customer service at its best #sarcasm,yes,yes,no
@BrendaRdhta2d @LindaSuhler should've added #sarcasm,no,no,no
This audio editing is stellar. #sarcasm #MarriedAtFirstSight,yes,yes,no
Did the #Jays win tonight? I couldn't tell. #sarcasm,yes,yes,no
Euro run will show 1st Atlantic storm to teleport to Pacific...then to the coast of Africa &amp; run at us again.Right? Right. #Matthew #Sarcasm,yes,yes,no
"But hey, since it'll have a Pakistani star cast, it's certainly not unpatriotic. #sarcasm #SurgicalPolitics https://t.co/5CY86JCUBC",yes,yes,yes
@CTVNews great work burying the #carbontax story halfway through your 'newscast'. #notobviousatall #sarcasm @PMTurdeau,yes,yes,no
UGH MATH PROBLEMS #homework #yay #sarcasm,yes,yes,no
"@coryxoxo @Cernovich @sallykohn I think it's called, ""planning"". 
  
  #sarcasm",yes,yes,no
@KimAroundTown #sarcasm of course right,no,yes,no
"Lovely. . .
  #sarcasm https://t.co/76cUujn1TG",no,no,no
"So long as you're comfy, that's the main thing #sarcasm https://t.co/tE4KgkSmUI",yes,no,no
"@wbr4747 @Fluffyandgracie now Hillary, consistently appears to care but then again, don't all politicians? Haha. #Sarcasm",yes,yes,no
"@democracynow 
  America is about bringing #Freedom &amp; #Democracy to the world. Obviously we haven't brought them enough yet! ;-) #sarcasm",yes,yes,no
The Shocker T-shirt https://t.co/ntsqgXyf1L #sarcasm #WitticismsRus #funnygift #Funny_tee https://t.co/YZxV9LDSA5,no,no,no
"But it surely shows how stupid you are.
  #sarcasm https://t.co/BuuKofiVcP #lazzycow",no,no,no
"But it surely shows how stupid you are.
  #sarcasm https://t.co/CvO02qYxPV",no,no,no
@RipYourBallsOff had to put the #sarcasm in cause...millenials,no,no,no
@KarimArdalan hillaryous! #sarcasm #SeeWhatIDidThere,no,no,no
Alright I'm going to go cry for a bit and listen to some Marvin Gaye to get over my broken heart. #GoOs #sarcasm #JkImserious.,yes,yes,no
@RipYourBallsOff I trust the #CNN polls more. They are less biased. #sarcasm,no,no,no
"@thehill @wikileaks OMG! Drone striking someone is always a knee slapper! Hilarious!! My sides are splitting, it's so funny!!! #sarcasm",yes,yes,yes
"@NBCNews oh, ok. Sharp catch there... #sarcasm",no,no,no
@Mathemagicianme @samsteinhp Wait! Donny Smallhands is insecure? But He hides it so well. No one would ever notice. #sarcasm #tytlive,yes,yes,yes
"R u sure that u don't?!? I heard that @GovPenceIN &amp; @realDonaldTrump speak the truth! #sarcasm ðŸ˜‚ (Nice how they ignore Criminology too, eh?)",yes,yes,yes
"@SNJeffBlair nah, he left osuna out there too long and he got hurt. #firegibby #sarcasm",yes,no,no
Best pitcher in all of #MLB sitting on the bench to watch us lose the game... #ThanksBuck #Sarcasm @CaseySternâ€¦ https://t.co/a9EenEgz7p,yes,yes,no
"@sarahmcpants thank you, &amp; again.. sorry. Now quit harassing the little guy that no one knows or gives 2 ðŸ’©ðŸ’© about: ðŸ˜Ž (#sarcasm)",no,no,no
Thanks @BrightHouseCare glad tbs was working so I could watch my Orioles lose #sarcasm,no,no,no
"Obviously they needed to save Britton for a higher-leverage situation. #sarcasm 
  
  #BlueJays #Orioles #ALWildCardâ€¦ https://t.co/kHiSZD0lIV",no,no,no
Thank god the game Friday starts at noon! #Sarcasm,no,yes,yes
@ryanlawrence21 Sorry. Forgot to include #sarcasm on that last one.,no,no,no
Edwin swings on the first pitch just like I always said to do #sarcasm,yes,yes,no
@masnRoch reimold is definitely better than kim #sarcasm,no,yes,yes
"My main problem with the #VPDebate tonight was all the focus on Climate Change, Poverty and Voting rights. #Sarcasm #OurMediaIsBroken #MSNBC",no,yes,yes
"@grapejellykelly Ironic, ain't it? #sarcasm is a lost art.",no,no, s
Really patient hitting tonight #sarcasm,no,no,no
No wonder Pence screwed up their name tonight. Obviously @longwoodu didn't do enough to advertise their name leadinâ€¦ https://t.co/lFLv9iRymz,no,no,no
Reading up on the current threats to the American people #clowns #clownwatch #Sarcasm https://t.co/zG0aDmJTST,no,no,no
"@neeratanden @JaymeMerline @realDonaldTrump And the best part is, he'll have the same approach as POTUS. Isn't it grand. #sarcasm",yes,yes,no
@euanrellie @KellyannePolls she is just a treasure. #sarcasm,no,no,no
"@jazayerli 
  
  I'm sure there have been countless elimination games where an available Cy Young winner didn't pitch
  
  #sarcasm",no,no,no
"White House
  Senate
  House of Representatives 
  
  FYI, insert #sarcasm https://t.co/Qxi0Rm8eUf",no,yes,yes
I wish us Ranger fans could be as classy as Toronto fans...maybe one day #sarcasm,yes,yes,no
Geeez I had high hopes for Smoak there!!! #sarcasm,no,no,no
I am shocked smoak struck out #sarcasm,no,no,no
@Valleyite12 Good point! I really enjoyed the same point verbatim in your other tweets! #sarcasm #atleastyoureconsistent,no,yes,yes
@EricTrump thanks for deflecting personal taxes to business taxes #sarcasm,yes,yes,yes
"Mood Today- feeling luxurious
  
  #sarcasm https://t.co/XSYm3JWXRU",yes,yes,no
Sorry you missed a game of sporpsball for the most important Vice Presidential debate analysis in a generation.â€¦ https://t.co/EyqTyhv2MK,yes,no,yes
Wow who could have predicted that #Sarcasm #Timmey https://t.co/YLg5Heg7Fe,yes,yes,no
It's back to crying myself to sleep apparently. Great. I had missed it. #sarcasm,yes,yes,yes
Remember when the #Mets traded Jeff Kent to the #Indians for Carlos Baerga? That worked out well. #sarcasm #WorldSeries,no,no,no
"With Donald Trump complaining about the election being ""rigged,"" I'm playing the world's smallest violin in pity. #Sarcasm",yes,yes,no
Fuck off coffee mug https://t.co/ZkB0f6lHHh #sarcasm #WitticismsRus #funnygift #Rude_coffee_mug https://t.co/aMvbvZDeGv,no,no,no
This union was destined to last if only she hadn't put those damn photos on snap chat. #sarcasm https://t.co/1Ys9yWf8LZ,yes,yes,no
So the clocks go back an hour on Sunday. Does this mean I go back in time and get to do the same thing twice lol ðŸ˜…ðŸ˜† #joke #sarcasm,yes,yes,yes
@2GGaming @TSMZeRo Wow paying players at the stage. Stop ruining the scene! #sarcasm,yes,no,yes
@TheBlogfines @AnthonyDiComo more hits than schwarber had there #sarcasm,no,no,no
@Ford @croninauto Thanks for the awesome assistance this evening #sarcasm couldn't answer ?? So much for wanting someones biz #cxservsucks,no,no,no
He really loves me! #sarcasm #conversations #games #life #hegotjokes #hesgotitall #longdistance https://t.co/W9D7D1EBFQ,no,no,no
@fouroaksboys @RoyCooperNC @PatMcCroryNC Because having a surplus for the 1st time in NC history is soooo bad! #sarcasm,yes,no,yes
oh wait? She's Ric Flair's daughter?!?! I NEVER KNEW! #sarcasm https://t.co/SmfUzhEoma,no,no,no
Because that's what every farmer needs... #moarpaperwork #sarcasm https://t.co/MMYdjoZCaR,no,no,no
ANYONE KNOW WUT TIME THE GAME STARTS TONIGHT? #Sarcasm #WorldSeries,yes,yes,no
Bravo! What a nice way to respect the constitution and the transition of power! #sarcasm https://t.co/GPMxlZTqXE,yes,yes,no
@CSGguy2 @australian But they're supposed to all install battery storage!! #Sarcasm,yes,yes,no
"@megynkelly that $70,000 u donated to Hillary has no bearing on your non partisan view Megyn....
  #sarcasm",yes,yes,no
It's #FALL look at all of these #leaves we get to #rake #cantwait #sarcasm #doihaveto #doyâ€¦ https://t.co/Vv1SxQ44FM https://t.co/lsLrgJGJSG,yes,yes,no
It's #FALL look at all of these #leaves we get to #rake #cantwait #sarcasm #doihavetoâ€¦ https://t.co/1I6OlUNwi0,no,no,no
Oh yay! One cloud of disease smoke from smokers coming right up! I like getting lung cancer! #Sarcasm,yes,yes,yes
"When u order 2 much online stuff u b like 
  Meri pant bhi sexy 
  Meri shirt bhi sexy 
  Mere Baal bhi sexy 
  Yeh rumaal bhi sexyyy hai 
  #sarcasm",no,no,no
What's with all these hippy gender neutral bathrooms?! You telling me I can pee in whichever one is not occupied? #ridiculous #sarcasm,yes,yes,yes
This is so unexpected. I can't believe this #Sarcasm https://t.co/EyICqivNBq,yes,yes,no
"Gabbar was racist. 
  He didn't like Kaalia. 
  #sarcasm #virendersehwag #sarcastic",no,no,no
"#WorldSeries game 2. You think the umps have already decided who will win tonight? #sarcasm 
  Tired of people bitching about the #Umpire",yes,yes,no
"Hey, does anyone know if Kluber is going to pitch game 4? I can't find it anywhere...... #sarcasm #WorldSeries",yes,yes,no
"@IngrahamAngle @Adele @CNN I am no longer an Adele fan! Somehow, I'll find a way to muddle through the rest of my life #Sarcasm",yes,yes,no
"@SteersMann @MaryamNamazie And because only brown non-British/Euro-American people can be Muslim,right? #sarcasm",yes,no,yes
Horny unicorn coffee mug https://t.co/CAgJHGIQX9 #sarcasm #WitticismsRus #Funny_coffee_mug https://t.co/DoQMzJjarT,no,no,no
"OMFG....50 cents?!?!? well, guess i'm buying everything then! #sarcasm #wtfmoments #saq https://t.co/ikEWTF9kQ3",yes,yes,no
"@ZHadzimahovic that's in Sweden but @BiHFootball is only for ""men""!
  #sarcasm",no,no,no
@decoratingJan @LeaBlackMiami @TheWalkingDead aren't you clever - working an Obama slam into a discussion of the walking dead #sarcasm,yes,yes,no
"Hey @dennisjromero... Please also retweet the comments that followed so you provide context. Otherwise, NICE journaâ€¦ https://t.co/4e5SP0QXQG",yes,yes,no
"Australia and East Timor Oil has been mentioned in the latest wikileaks release.
  
  oh goodie #sarcasm",yes,yes,no
But misfits are so Obviously joking when they talk shit but plastics are dead serious when they do. #sarcasm #bbott https://t.co/Mew7897ubm,yes,yes,no
@NatashaKrec with an eyeroll I cant add. Private education is the way to go. #sarcasm,yes,yes,no
This view is so meh. #sarcasm #Twitter https://t.co/56Z1ltEMRX https://t.co/b8xjb0jXpl,yes,yes,no
To back up #Trump's evil paranoia ðŸ‘‰ How to #hack an #election in 7 min (english) #sarcasm https://t.co/Nwcel1tB2T,no,no,no
"I've been on a strict diet of Guinness, coffee, and meal replacement cookies. #sarcasm",yes,yes,yes
Hmm should I tweet my crappy stolen Fd NBA lines today ? #sarcasm #peoplelovetohate,yes,yes,no
"@MonicaStolfa @GraslieJo @karen_fink @BrooksDslbrooks @NCIS_CBS You mean the fans didn't watch for MH,PP &amp;DM? #Sarcasm #TIVA brings ratings",yes,yes,no
